Region,Crop_Type,Temperature,Rainfall,Pesticide_Use,Yield,Soil_Moisture,Humidity,Solar_Radiation,Wind_Speed,Previous_Crop,Fertilizer_Residuals,Pest_Infestation_Severity,Disease_Presence,Pesticide_Effectiveness,Monsoon_Delay,Flood_Occurrence,Temperature_Extremes,Year
Bihar,Soybean,29.45,625.63,266.83,1903.31,7.03,43.94,4.89,2.54,Sugarcane,117.89,7.28,1,83.71,19.22,0,1,2022
Telangana,Sugarcane,27.45,954.68,161.7,4594.58,13.05,82.88,3.51,7.97,Wheat,162.31,10.39,1,95.85,6.52,0,1,2022
Uttar Pradesh,Rice,27.82,1182.37,143.04,3000.19,32.4,49.7,6.6,3.4,Soybean,213.2,7.28,0,64.35,9.33,0,0,2022
Madhya Pradesh,Sugarcane,29.12,414.94,310.86,1503.89,24.02,36.77,5.52,5.09,Rice,264.04,7.28,0,78.92,11.4,1,0,2022
West Bengal,Wheat,35.62,667.36,449.66,3256.07,26.66,82.2,6.54,5.26,Wheat,121.78,0.0,0,90.01,5.9,0,0,2022
Uttar Pradesh,Sugarcane,37.75,1344.34,231.75,2510.44,12.73,68.17,4.24,11.12,Soybean,95.93,0.0,1,84.46,19.63,1,1,2022
Haryana,Rice,39.02,902.61,383.55,5091.71,26.61,39.88,4.62,8.23,Soybean,144.71,9.35,0,64.02,10.04,1,0,2022
Haryana,Wheat,35.65,1013.15,354.55,2963.74,5.85,55.79,4.67,18.95,Soybean,273.6,3.12,1,75.86,9.16,1,1,2022
Rajasthan,Sugarcane,26.25,868.46,461.03,5129.96,16.28,47.24,3.13,2.53,Maize,52.47,5.2,0,80.29,18.36,1,1,2022
Punjab,Soybean,33.68,373.81,417.88,1475.68,23.83,74.21,4.71,19.47,Maize,219.47,7.28,1,99.83,6.74,0,1,2022
Gujarat,Wheat,28.68,528.79,318.63,2833.33,9.39,57.2,7.02,4.61,Soybean,169.29,1.04,1,67.14,17.66,1,1,2022
Maharashtra,Wheat,25.03,884.65,353.91,2538.77,29.72,89.36,7.49,15.46,Sugarcane,90.26,2.08,1,99.3,2.64,0,1,2022
Chhattisgarh,Soybean,36.73,584.03,448.08,2505.2,12.06,33.28,5.59,6.78,Maize,130.26,5.2,0,75.05,3.95,1,0,2022
Punjab,Maize,20.72,381.54,253.43,1774.36,24.6,51.3,5.28,2.86,Wheat,106.24,9.35,1,68.01,20.54,0,0,2022
Telangana,Rice,37.95,1390.99,225.06,2299.96,17.17,58.91,3.15,17.16,Maize,269.46,3.12,0,76.56,18.2,1,1,2022
Madhya Pradesh,Maize,29.16,1565.93,101.76,3928.07,22.91,60.19,7.4,6.18,Sugarcane,170.47,1.04,1,84.56,8.38,1,1,2022
Gujarat,Sugarcane,32.67,1326.76,420.06,2760.6,8.23,48.96,3.07,13.18,Rice,190.77,6.24,0,68.54,13.79,0,1,2022
Gujarat,Soybean,33.11,1403.89,410.08,3317.55,5.51,73.75,7.72,11.33,Maize,198.42,3.12,1,71.66,20.37,0,1,2022
Rajasthan,Maize,37.81,625.74,138.3,3138.46,32.32,82.48,5.45,9.44,Soybean,209.9,7.28,1,94.18,4.58,0,0,2022
Bihar,Wheat,32.66,1539.78,322.63,5343.76,13.1,86.32,4.71,9.92,Soybean,173.89,7.28,0,99.96,1.27,0,1,2022
Telangana,Sugarcane,32.2,568.44,278.59,5473.66,29.62,78.31,7.62,14.64,Soybean,54.47,6.24,0,72.73,11.61,1,1,2022
Maharashtra,Sugarcane,21.28,1528.08,143.87,3651.47,35.02,81.03,3.12,1.76,Rice,133.68,9.35,1,65.95,3.08,1,0,2022
Gujarat,Maize,30.3,1583.26,480.15,2932.03,11.36,63.03,5.91,13.36,Sugarcane,95.97,8.31,1,91.73,4.05,1,0,2022
Andhra Pradesh,Maize,22.95,1223.2,181.32,1945.0,12.97,79.55,5.74,17.92,Wheat,220.04,3.12,0,84.02,19.26,1,0,2022
West Bengal,Soybean,34.67,1565.87,123.78,5686.23,24.91,48.21,4.1,1.16,Sugarcane,64.18,6.24,1,64.02,0.16,1,0,2022
Gujarat,Rice,30.17,1042.36,329.65,1739.19,34.0,53.91,5.14,2.81,Rice,190.95,9.35,1,97.87,17.65,0,1,2022
Gujarat,Maize,33.53,648.08,385.84,2788.39,32.51,49.01,6.26,14.33,Soybean,102.66,9.35,0,63.12,11.17,0,1,2022
West Bengal,Maize,20.78,873.78,110.21,2790.23,20.11,58.04,6.64,8.75,Sugarcane,287.21,0.0,0,85.01,12.08,1,1,2022
Karnataka,Wheat,21.65,1072.91,354.57,2888.93,28.89,47.13,3.0,8.07,Wheat,133.89,3.12,0,76.96,14.51,0,1,2022
Rajasthan,Sugarcane,34.25,410.92,305.24,2199.04,9.08,87.7,7.68,2.74,Soybean,131.31,1.04,1,82.26,9.32,1,1,2022
Gujarat,Rice,21.39,1109.52,137.84,4933.92,34.36,48.77,3.82,10.14,Wheat,280.85,8.31,1,68.53,2.5,1,1,2022
Gujarat,Wheat,21.38,1565.91,164.86,2014.37,33.97,35.88,4.17,2.53,Maize,154.34,4.16,1,87.52,2.22,0,1,2022
Bihar,Soybean,20.19,559.77,319.16,4278.76,9.92,61.61,4.32,9.53,Wheat,290.72,2.08,0,98.39,16.3,1,1,2022
Chhattisgarh,Soybean,39.04,1326.06,213.18,2020.33,14.0,33.43,3.19,15.27,Soybean,56.04,3.12,1,78.34,4.77,0,1,2022
Maharashtra,Maize,34.67,1472.71,463.66,1784.74,8.01,36.63,3.62,5.17,Maize,126.59,5.2,0,80.92,0.61,1,0,2022
Uttar Pradesh,Maize,27.0,1518.25,417.01,5491.91,13.17,43.16,7.93,9.62,Soybean,216.55,9.35,0,69.59,21.16,0,1,2022
Chhattisgarh,Soybean,25.87,1539.15,481.32,2313.24,29.51,57.86,4.58,19.84,Soybean,272.71,0.0,1,95.67,21.18,1,0,2022
Chhattisgarh,Maize,26.93,981.21,198.87,5102.24,16.37,56.0,3.58,13.73,Maize,114.1,6.24,0,98.85,8.17,1,0,2022
Karnataka,Rice,35.41,1560.99,475.92,3879.82,7.66,77.98,3.53,16.83,Wheat,282.62,7.28,1,91.45,0.55,0,0,2022
Tamil Nadu,Maize,33.15,1281.18,265.81,1817.09,15.28,74.37,6.6,8.3,Rice,198.53,6.24,0,81.71,15.71,1,0,2022
Karnataka,Sugarcane,23.65,523.6,233.14,5695.27,34.48,55.58,7.27,15.36,Rice,250.25,6.24,0,98.27,17.95,1,1,2022
West Bengal,Maize,23.43,924.53,117.19,2564.39,23.92,50.02,4.28,0.81,Rice,149.3,8.31,0,66.15,2.7,0,0,2022
Maharashtra,Wheat,21.92,1231.6,118.13,5271.91,17.5,48.99,3.1,2.46,Rice,103.05,3.12,1,79.14,2.93,0,0,2022
Rajasthan,Rice,33.13,632.56,367.56,2219.03,10.01,76.44,4.12,4.06,Sugarcane,277.81,6.24,0,81.5,17.76,0,1,2022
Punjab,Wheat,35.2,1132.76,276.22,5246.71,34.62,33.12,3.28,8.04,Rice,283.28,8.31,1,79.68,19.92,1,0,2022
Odisha,Wheat,25.24,1165.81,185.93,1531.5,29.66,30.77,3.52,16.91,Maize,174.39,4.16,0,92.1,17.08,0,1,2022
Maharashtra,Sugarcane,20.37,524.91,337.11,3734.65,13.46,77.73,5.16,6.93,Rice,51.62,1.04,0,86.82,4.34,0,1,2022
Bihar,Rice,21.59,1036.69,196.21,4873.29,7.11,58.63,4.15,13.09,Soybean,77.45,4.16,0,65.07,8.89,0,1,2022
Madhya Pradesh,Rice,39.27,1299.39,322.93,5604.01,6.71,37.85,5.58,14.19,Rice,193.26,3.12,1,73.86,12.98,1,1,2022
West Bengal,Rice,25.85,952.51,237.7,5490.9,8.62,44.13,4.27,11.72,Wheat,55.94,7.28,1,73.56,3.46,0,0,2022
Uttar Pradesh,Rice,35.3,333.36,418.89,5095.05,22.45,85.95,7.7,7.14,Maize,149.23,4.16,1,82.63,4.55,1,1,2022
Haryana,Rice,32.42,329.47,417.77,5398.06,32.9,81.57,7.53,11.54,Maize,125.84,8.31,1,71.66,6.11,1,0,2022
Madhya Pradesh,Sugarcane,27.57,772.07,283.8,2353.41,19.92,72.59,5.83,6.85,Sugarcane,228.59,8.31,1,64.69,11.01,0,0,2022
Madhya Pradesh,Maize,24.06,1495.98,234.43,2728.88,30.32,58.93,4.77,1.68,Soybean,63.89,2.08,0,86.15,11.03,1,1,2022
Rajasthan,Wheat,22.38,608.82,239.01,2750.02,18.4,61.22,4.91,19.86,Maize,172.18,9.35,0,94.04,17.59,1,0,2022
Tamil Nadu,Rice,32.22,1124.81,411.93,3139.28,26.29,88.51,5.06,2.54,Wheat,194.78,5.2,1,97.26,16.27,1,1,2022
Punjab,Maize,35.41,600.43,225.6,3211.17,26.99,87.95,6.64,1.45,Rice,204.32,5.2,1,98.9,19.74,1,0,2022
Telangana,Maize,32.8,727.1,179.12,3879.49,10.23,42.92,5.26,17.57,Maize,151.29,3.12,1,91.24,17.99,1,0,2022
Gujarat,Wheat,30.53,1396.58,130.59,2179.56,15.85,78.67,7.28,6.04,Wheat,126.09,10.39,1,65.59,5.48,0,0,2022
Andhra Pradesh,Sugarcane,20.79,1245.0,279.64,4527.74,24.15,41.83,7.72,13.01,Rice,220.62,9.35,0,94.12,7.16,0,0,2022
Gujarat,Soybean,39.28,439.31,285.67,2213.53,7.13,42.81,4.68,6.58,Sugarcane,261.89,2.08,1,76.0,10.81,0,1,2022
Haryana,Soybean,35.89,863.23,425.66,2844.33,15.86,70.57,5.8,7.83,Maize,223.4,0.0,1,89.2,0.31,1,1,2022
Madhya Pradesh,Maize,25.8,355.07,183.87,3697.38,21.07,54.3,3.48,5.24,Maize,283.03,6.24,1,81.25,19.53,0,0,2022
Chhattisgarh,Wheat,39.51,929.61,246.2,4992.6,34.93,85.89,4.0,6.86,Wheat,229.32,4.16,1,93.14,0.96,1,0,2022
Chhattisgarh,Soybean,31.96,1160.51,412.98,4740.84,19.26,35.34,5.07,8.21,Soybean,241.15,9.35,0,77.02,6.97,1,0,2022
Karnataka,Maize,31.57,468.69,418.91,4325.73,29.51,60.69,4.03,14.41,Sugarcane,91.98,6.24,0,62.47,12.3,1,0,2022
Andhra Pradesh,Sugarcane,34.88,685.4,247.62,2161.42,17.98,85.11,7.38,10.23,Soybean,154.88,0.0,1,82.27,11.19,1,1,2022
Rajasthan,Soybean,36.15,823.97,276.69,3890.49,28.92,84.25,3.79,18.87,Maize,171.26,7.28,0,66.85,14.14,0,0,2022
Punjab,Maize,33.05,1487.51,215.88,1859.47,22.89,39.39,5.28,0.84,Soybean,114.07,2.08,0,98.62,11.4,1,0,2022
Haryana,Maize,22.51,1581.27,461.42,3140.65,31.63,52.0,6.03,10.06,Rice,182.13,6.24,1,81.08,4.95,0,0,2022
Rajasthan,Rice,26.7,375.09,143.84,3300.41,17.35,67.15,6.46,11.68,Sugarcane,122.7,2.08,1,82.14,4.34,0,1,2022
West Bengal,Sugarcane,38.47,1285.88,461.88,1648.97,23.15,39.56,4.92,18.4,Soybean,221.88,2.08,0,96.29,19.6,1,0,2022
Uttar Pradesh,Rice,24.44,790.76,364.38,2683.82,23.93,88.08,7.35,0.98,Rice,167.57,9.35,0,84.98,5.7,0,1,2022
Madhya Pradesh,Wheat,27.38,817.13,304.96,5696.16,17.54,84.88,5.84,11.47,Wheat,164.7,8.31,0,72.11,6.07,0,1,2022
Bihar,Rice,28.57,1277.31,110.29,5687.25,9.34,40.02,5.2,17.07,Soybean,295.91,1.04,0,71.84,8.92,0,0,2022
Karnataka,Rice,28.72,1486.1,283.12,3030.01,7.82,37.27,3.34,4.84,Sugarcane,148.11,3.12,0,80.06,3.01,1,0,2022
Rajasthan,Soybean,32.18,1527.44,256.64,1663.5,5.51,35.12,5.32,17.53,Rice,140.57,5.2,1,94.66,10.96,1,0,2022
Odisha,Maize,38.77,1052.0,160.45,2264.48,31.24,84.57,7.1,0.38,Soybean,129.65,2.08,0,91.79,14.37,1,1,2022
Andhra Pradesh,Sugarcane,24.76,772.19,353.67,3206.29,12.11,41.62,6.07,14.65,Wheat,273.69,9.35,0,98.51,16.98,0,1,2022
Madhya Pradesh,Rice,22.38,1319.64,476.48,5661.38,11.36,54.98,7.16,18.66,Soybean,174.18,9.35,0,62.88,15.37,0,0,2022
Punjab,Sugarcane,23.89,637.22,316.9,2097.01,27.11,56.93,5.47,13.14,Rice,200.0,6.24,0,70.73,3.19,1,1,2022
Karnataka,Rice,37.65,1035.41,376.43,4847.1,14.62,65.94,3.59,8.78,Soybean,95.2,6.24,0,63.21,9.85,1,0,2022
Tamil Nadu,Wheat,32.84,774.04,124.25,1953.32,20.2,34.3,3.07,0.9,Sugarcane,185.24,4.16,0,90.04,0.83,0,0,2022
Tamil Nadu,Rice,25.66,1153.13,260.51,5809.33,9.89,43.61,4.52,18.4,Maize,118.66,2.08,0,65.63,0.38,1,0,2022
Andhra Pradesh,Soybean,36.23,623.73,142.95,3159.44,33.83,85.89,6.49,9.41,Rice,232.66,1.04,0,64.0,9.51,1,0,2022
Haryana,Maize,37.14,561.65,336.65,4898.89,30.58,84.5,6.95,0.58,Rice,258.13,3.12,1,82.47,5.46,0,0,2022
Uttar Pradesh,Wheat,36.84,1485.86,463.73,2986.99,30.95,76.88,4.48,13.8,Rice,228.7,3.12,1,76.46,14.76,0,0,2022
Odisha,Rice,38.29,447.45,355.76,4246.78,17.22,31.16,5.48,9.64,Rice,232.56,10.39,0,88.6,15.65,1,1,2022
Tamil Nadu,Sugarcane,24.99,961.49,127.51,2321.58,27.9,49.62,5.11,2.49,Soybean,178.12,7.28,1,79.48,19.34,1,1,2022
Madhya Pradesh,Wheat,35.02,598.87,235.93,2118.32,9.33,67.68,5.05,4.29,Sugarcane,228.03,7.28,1,77.01,16.43,1,1,2022
Odisha,Wheat,29.14,367.49,312.41,5618.45,5.26,46.51,4.16,1.29,Wheat,155.67,4.16,1,77.02,1.04,1,0,2022
Chhattisgarh,Rice,36.75,363.78,254.87,5528.23,5.61,84.58,3.68,11.49,Sugarcane,212.87,5.2,1,94.88,8.03,0,0,2022
Punjab,Wheat,34.49,540.83,422.82,5394.86,22.62,68.03,3.98,12.44,Rice,114.76,7.28,1,75.81,5.9,1,0,2022
Uttar Pradesh,Sugarcane,35.45,1420.4,415.42,4236.9,18.68,34.31,3.28,10.11,Soybean,67.44,0.0,1,73.34,8.34,1,1,2022
Gujarat,Wheat,33.05,677.25,336.27,5044.87,20.56,84.54,3.99,16.34,Soybean,153.37,4.16,0,73.54,3.46,0,0,2022
Punjab,Sugarcane,23.49,1526.84,243.26,1778.12,5.23,87.47,3.05,17.22,Rice,165.44,3.12,0,67.86,2.11,0,1,2022
Telangana,Rice,30.83,1057.73,197.18,2952.51,17.7,34.66,6.14,12.31,Soybean,114.1,3.12,1,94.43,11.25,0,0,2022
Madhya Pradesh,Maize,39.6,873.29,138.86,2859.33,26.57,61.94,4.58,0.26,Rice,231.93,10.39,0,65.87,15.56,0,1,2022
Madhya Pradesh,Wheat,38.66,1055.78,236.02,4282.03,18.3,48.2,7.87,13.9,Sugarcane,68.39,1.04,1,96.34,15.16,0,0,2022
Telangana,Maize,20.81,975.15,258.76,3046.06,27.0,53.57,3.97,8.36,Maize,105.69,9.35,0,71.34,9.74,0,0,2022
West Bengal,Sugarcane,23.24,1283.05,361.24,2129.31,12.0,40.78,4.73,11.31,Soybean,237.14,0.0,0,95.98,11.28,0,1,2022
Odisha,Wheat,22.58,677.27,354.35,4108.89,29.43,64.68,4.79,12.98,Rice,159.28,5.2,0,91.63,11.15,1,1,2022
Uttar Pradesh,Soybean,34.44,767.01,124.9,5071.89,22.68,87.48,3.04,7.0,Rice,226.32,6.24,1,83.28,14.94,1,1,2022
Punjab,Maize,36.27,1455.15,251.77,3161.68,11.34,60.18,7.2,18.34,Soybean,191.87,4.16,0,86.78,1.04,0,0,2022
Uttar Pradesh,Wheat,24.21,1521.75,168.47,2057.55,12.12,34.97,3.16,2.68,Wheat,287.68,7.28,0,73.03,15.34,1,1,2022
Andhra Pradesh,Maize,30.05,1453.2,158.73,2342.23,23.87,67.2,7.7,13.43,Rice,199.45,8.31,1,82.97,12.58,1,1,2022
Telangana,Wheat,36.73,851.46,420.35,2522.5,29.93,50.41,7.46,0.09,Soybean,53.72,10.39,1,71.7,4.28,0,0,2022
Maharashtra,Rice,34.57,1310.5,113.9,2798.32,17.49,81.36,5.68,18.49,Rice,138.22,10.39,0,76.09,1.06,0,0,2022
Uttar Pradesh,Maize,30.77,923.81,261.11,4313.62,12.76,56.08,5.72,2.25,Wheat,85.77,1.04,1,90.59,2.34,0,1,2022
Bihar,Soybean,31.73,950.78,163.18,4128.68,31.04,41.57,6.27,1.9,Maize,281.16,10.39,0,69.76,11.33,0,0,2022
Tamil Nadu,Soybean,30.1,578.3,440.65,4549.09,25.11,41.47,4.94,6.66,Wheat,76.0,3.12,0,93.55,16.38,0,1,2022
Chhattisgarh,Sugarcane,25.89,1069.82,314.9,3074.98,18.46,76.13,6.24,7.47,Sugarcane,146.93,10.39,1,75.04,7.23,1,1,2022
Bihar,Wheat,31.23,554.71,187.83,5114.38,19.66,45.94,3.22,4.29,Soybean,106.52,8.31,1,81.29,8.19,1,1,2022
Chhattisgarh,Maize,33.7,739.68,293.59,2374.92,11.14,76.03,3.27,11.7,Wheat,261.68,4.16,0,97.68,20.18,0,0,2022
Madhya Pradesh,Sugarcane,37.38,1405.47,382.96,3545.78,23.83,42.35,5.29,8.86,Maize,127.14,2.08,1,87.25,4.6,0,1,2022
West Bengal,Maize,32.65,581.35,471.39,5012.48,15.78,49.3,5.75,0.68,Rice,297.97,5.2,0,85.82,2.24,1,1,2022
Gujarat,Wheat,35.14,408.48,183.56,2269.18,34.91,57.93,7.44,6.39,Soybean,59.65,2.08,1,88.46,7.42,1,0,2022
West Bengal,Soybean,23.15,405.74,443.32,1958.54,19.43,86.59,3.52,16.21,Wheat,82.07,4.16,1,96.72,16.11,1,1,2022
Punjab,Rice,29.16,1514.54,462.1,5378.14,19.6,85.9,7.11,13.79,Maize,106.16,2.08,1,69.94,13.52,0,1,2022
Odisha,Soybean,20.14,962.71,455.12,2988.48,22.0,42.41,4.05,14.5,Wheat,252.78,5.2,1,84.53,8.98,0,1,2022
Andhra Pradesh,Sugarcane,24.88,838.7,345.48,4495.14,32.54,51.49,4.97,13.96,Sugarcane,269.63,9.35,1,76.02,20.84,1,0,2022
Andhra Pradesh,Rice,34.45,1349.31,343.29,1585.06,29.06,38.96,4.58,6.22,Soybean,67.86,4.16,0,60.47,15.88,0,1,2022
Gujarat,Sugarcane,39.74,1381.04,254.87,4522.43,18.55,60.6,5.0,1.99,Rice,58.12,8.31,0,65.01,1.34,1,0,2022
Bihar,Wheat,21.93,740.48,391.12,2869.93,26.59,57.63,3.75,5.45,Maize,236.14,2.08,0,73.0,16.09,0,0,2022
Uttar Pradesh,Rice,27.96,1200.17,304.85,1719.36,22.61,84.05,5.52,16.64,Wheat,83.34,5.2,1,82.6,0.52,0,1,2022
Chhattisgarh,Sugarcane,35.92,1298.75,361.87,4167.87,19.79,85.8,7.01,19.61,Soybean,83.25,7.28,0,95.26,14.05,1,1,2022
Bihar,Wheat,24.02,1150.61,264.72,2537.18,10.78,53.01,5.21,9.88,Wheat,55.59,6.24,0,91.64,4.55,1,0,2022
Uttar Pradesh,Soybean,31.03,510.78,382.97,3182.38,18.94,59.5,5.45,0.19,Soybean,62.45,5.2,1,82.13,15.04,0,1,2022
Odisha,Wheat,34.58,1431.99,419.24,1829.13,12.39,83.77,7.24,2.8,Sugarcane,115.92,1.04,1,62.95,6.69,1,1,2022
Punjab,Maize,32.24,1003.64,154.68,2123.37,32.48,78.4,6.53,6.44,Wheat,66.25,6.24,1,71.44,18.86,0,0,2022
Chhattisgarh,Wheat,23.7,677.24,422.54,2789.83,15.08,30.22,5.45,11.57,Sugarcane,142.22,7.28,0,74.67,7.28,1,1,2022
Haryana,Wheat,27.04,858.81,308.36,1869.7,33.61,49.2,4.29,1.5,Maize,258.19,0.0,0,84.87,13.39,1,1,2022
Punjab,Maize,35.59,365.76,427.12,5498.08,21.01,55.31,7.42,18.87,Sugarcane,131.58,8.31,1,62.6,6.18,0,0,2022
Karnataka,Sugarcane,31.01,480.6,265.83,1499.76,23.97,43.78,5.89,7.3,Soybean,231.96,3.12,0,81.21,19.81,0,1,2022
Uttar Pradesh,Sugarcane,20.06,1291.66,245.44,3611.27,21.31,41.97,4.11,18.25,Maize,73.48,7.28,0,96.06,16.87,0,0,2022
Haryana,Wheat,35.14,317.99,454.59,2017.68,8.89,32.27,4.35,15.61,Wheat,214.84,9.35,1,88.22,5.26,1,0,2022
Punjab,Maize,20.66,847.79,195.55,2832.71,16.29,68.6,7.02,15.11,Wheat,129.19,6.24,0,91.88,20.5,1,1,2022
Andhra Pradesh,Maize,34.83,982.54,426.95,5565.4,7.98,45.75,3.22,12.13,Soybean,237.44,9.35,1,87.27,7.72,0,0,2022
Maharashtra,Soybean,23.99,387.46,286.4,2187.58,23.71,33.14,7.96,12.54,Rice,84.06,6.24,0,68.26,14.08,1,1,2022
Madhya Pradesh,Sugarcane,39.07,1555.61,298.14,5741.16,18.43,43.86,3.65,12.76,Rice,274.47,1.04,1,64.42,16.05,0,1,2022
Uttar Pradesh,Rice,27.29,605.58,217.91,2382.47,28.37,78.11,6.98,12.57,Wheat,110.64,0.0,0,93.18,0.49,0,0,2022
Karnataka,Sugarcane,26.48,704.88,321.14,4750.1,11.63,81.09,4.97,11.07,Soybean,138.28,3.12,0,87.82,20.72,0,0,2022
Madhya Pradesh,Sugarcane,22.92,704.55,224.44,3888.87,9.95,58.98,5.46,19.73,Rice,287.55,1.04,1,83.0,7.44,0,0,2022
Tamil Nadu,Soybean,26.05,611.03,112.87,5381.65,17.21,54.96,7.4,14.65,Sugarcane,194.62,7.28,1,67.57,4.1,0,0,2022
Maharashtra,Rice,37.45,319.85,203.68,3921.2,32.83,88.67,5.06,15.54,Wheat,141.44,9.35,1,84.13,18.38,1,0,2022
West Bengal,Soybean,39.83,1245.61,100.04,3835.32,26.34,42.03,5.69,17.45,Sugarcane,287.4,6.24,1,61.25,15.18,1,0,2022
Uttar Pradesh,Rice,27.3,1547.69,479.29,2336.79,17.59,42.92,3.25,4.31,Soybean,132.27,7.28,0,64.75,1.87,0,1,2022
Chhattisgarh,Wheat,28.9,603.25,474.37,2207.62,20.54,47.51,3.01,1.68,Sugarcane,73.72,10.39,1,72.48,2.53,1,1,2022
Telangana,Rice,34.36,1161.29,251.73,5523.11,7.53,40.37,4.22,9.66,Rice,299.21,5.2,1,77.75,15.45,0,0,2022
West Bengal,Soybean,37.64,1261.58,381.75,2921.79,34.58,52.76,6.4,10.28,Rice,116.96,0.0,1,64.82,1.62,1,1,2022
Karnataka,Sugarcane,31.79,1397.07,232.48,3117.31,25.02,84.65,3.61,16.58,Maize,262.81,8.31,1,64.8,19.81,1,0,2022
Chhattisgarh,Rice,27.77,855.51,359.4,4830.78,13.58,66.92,3.57,8.88,Wheat,91.39,5.2,1,89.04,16.02,0,0,2022
Odisha,Rice,28.19,703.26,411.81,2970.34,22.6,54.72,5.05,11.42,Soybean,232.84,9.35,0,82.79,7.25,1,1,2022
Uttar Pradesh,Maize,33.83,731.71,466.96,5680.31,8.29,86.06,6.24,10.54,Wheat,181.11,0.0,1,81.35,7.84,0,1,2022
Haryana,Sugarcane,20.02,1224.34,253.7,4734.02,34.01,32.91,6.56,0.76,Sugarcane,295.23,0.0,1,78.1,10.94,1,0,2022
Karnataka,Wheat,32.32,1356.82,403.18,4113.15,10.25,42.62,3.89,12.3,Soybean,188.21,7.28,1,99.06,7.8,0,0,2022
Rajasthan,Soybean,27.05,548.96,201.31,5365.81,24.47,63.95,3.4,16.56,Soybean,56.25,5.2,0,61.99,16.92,0,0,2022
Karnataka,Wheat,35.8,789.76,483.96,1692.25,12.38,66.93,7.7,3.15,Rice,200.97,7.28,0,67.23,21.06,0,1,2022
Punjab,Sugarcane,21.81,1465.13,107.6,2609.03,26.56,32.37,4.3,11.89,Sugarcane,86.33,7.28,0,85.9,12.63,0,0,2022
Telangana,Rice,31.69,1343.99,333.04,3528.09,28.34,54.18,7.27,11.87,Rice,249.64,10.39,1,65.45,9.64,0,0,2022
Odisha,Rice,29.55,1570.6,354.88,2476.08,25.23,68.95,7.32,3.28,Rice,264.14,7.28,1,83.58,4.81,0,1,2022
Punjab,Sugarcane,32.77,1277.29,366.01,4760.44,23.46,71.88,6.86,2.47,Maize,170.52,9.35,0,82.71,14.12,1,1,2022
West Bengal,Rice,21.25,818.07,144.52,5535.12,31.81,68.29,3.84,19.6,Rice,245.81,6.24,0,98.84,14.81,0,1,2022
Rajasthan,Rice,31.53,1069.19,463.75,3345.73,7.37,49.23,7.11,7.87,Wheat,86.28,6.24,1,95.34,14.8,1,0,2022
Bihar,Rice,31.16,1158.7,168.24,2984.96,14.94,35.61,6.85,4.55,Soybean,173.02,9.35,1,97.82,0.58,0,0,2022
Chhattisgarh,Soybean,31.14,417.76,340.54,5722.24,12.46,55.63,5.98,3.43,Rice,148.49,3.12,1,64.54,19.42,1,1,2022
Karnataka,Soybean,31.99,1010.51,184.43,3438.89,34.68,37.73,4.69,13.35,Wheat,202.83,8.31,0,94.73,7.3,0,0,2022
Haryana,Maize,33.45,1220.14,217.42,3634.2,16.7,86.86,4.31,12.19,Sugarcane,61.12,1.04,1,65.16,16.08,0,0,2022
Tamil Nadu,Wheat,36.02,530.78,310.77,3027.02,27.01,58.51,3.61,12.87,Soybean,238.03,10.39,1,85.32,16.41,1,1,2022
West Bengal,Sugarcane,25.34,1310.84,260.33,5492.44,25.57,49.04,5.55,1.76,Sugarcane,69.78,8.31,0,88.8,14.05,0,1,2022
Madhya Pradesh,Sugarcane,36.42,1060.46,160.06,3987.32,11.38,75.98,5.93,17.87,Wheat,214.12,9.35,0,66.43,8.53,0,0,2022
Punjab,Sugarcane,29.9,1529.09,164.24,4841.17,12.18,59.88,4.8,7.79,Sugarcane,54.61,2.08,0,85.31,13.14,0,1,2022
Madhya Pradesh,Maize,21.49,371.93,260.7,5060.5,13.45,48.6,5.38,6.27,Sugarcane,257.97,1.04,1,62.1,0.87,0,1,2022
Bihar,Soybean,21.12,655.43,393.03,2983.71,17.35,78.72,4.82,9.25,Sugarcane,93.67,3.12,0,71.73,16.46,1,0,2022
Haryana,Maize,26.62,1083.08,447.92,3389.58,12.04,82.03,6.21,7.8,Rice,178.87,4.16,0,96.85,2.15,0,0,2022
Madhya Pradesh,Sugarcane,35.61,695.16,130.37,5222.53,5.6,70.38,7.51,17.27,Rice,115.37,1.04,1,66.87,8.57,1,0,2022
Haryana,Wheat,34.07,1226.63,250.93,3078.3,31.42,32.82,3.82,18.59,Rice,230.66,0.0,1,62.61,2.24,0,0,2022
Rajasthan,Rice,35.69,1283.34,136.66,4981.53,34.01,63.98,4.91,6.07,Soybean,130.34,9.35,0,77.75,18.08,0,0,2022
West Bengal,Soybean,30.27,448.36,104.02,5631.39,15.26,75.8,3.7,17.28,Wheat,231.15,10.39,1,94.02,11.89,0,0,2022
Haryana,Soybean,28.74,971.53,355.74,4227.07,15.17,38.19,6.12,15.63,Rice,121.22,4.16,0,63.07,14.93,0,1,2022
Andhra Pradesh,Maize,22.9,965.22,332.61,4750.37,5.22,43.72,6.64,18.62,Sugarcane,238.12,8.31,1,74.22,14.75,1,1,2022
Odisha,Soybean,26.5,787.65,161.15,5030.85,25.44,82.95,7.66,4.92,Sugarcane,57.65,4.16,1,95.99,18.18,0,1,2022
West Bengal,Sugarcane,28.61,1504.54,188.78,5207.36,29.8,31.21,4.39,11.54,Sugarcane,120.83,10.39,0,64.73,2.86,0,0,2022
